Programatic Name,OID Name,OID Numeric,Index Name
st_ext_tmpAirOverEnableB,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_tmpAirOverEnableB,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_tmpAirOverTypeB,,,
st_ext_tmpAirOverTypeB,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
val_ext_tmp_airUnderThrshld,lgpEnvTemperatureLowThresholdTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.52,lgpEnvExternalAirSensorB
val_ext_tmp_airUnderThrshld,lgpEnvTemperatureLowThresholdTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.52,lgpEnvExternalAirSensorB
val_ext_tmp_airUnderThrshld,lgpEnvTemperatureLowThresholdTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.52,lgpEnvExternalAirSensorA
val_ext_tmp_airUnderThrshld,lgpEnvTemperatureLowThresholdTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.52,lgpEnvExternalAirSensorA
st_ext_tmpAirUnderEnableA,,,
st_ext_tmpAirUnderEnableA,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_tmpAirUnderEnableA,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_tmpAirUnderEnableA,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_tmpAirUnderTypeA,,,
st_ext_tmpAirUnderTypeA,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_ext_tmpAirUnderEnableB,,,
st_ext_tmpAirUnderEnableB,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_tmpAirUnderEnableB,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_tmpAirUnderEnableB,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_tmpAirUnderTypeB,,,
st_ext_tmpAirUnderTypeB,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
val_ext_tmp_dewPntOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.51,lgpEnvDewPointTemperature
val_ext_tmp_dewPntOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.51,lgpEnvDewPointTemperature
st_ext_tmpDewPntOverEnable,,,
st_ext_tmpDewPntOverEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_tmpDewPntOverEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_tmpDewPntOverEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_tmpDewPntOverType,,,
st_ext_tmpDewPntOverType,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_ext_snsrAirIssueEnableA,,,
st_ext_snsrAirIssueEnableA,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_snsrAirIssueEnableA,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_snsrAirIssueEnableA,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_snsrAirIssueTypeA,,,
st_ext_snsrAirIssueTypeA,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_ext_snsrAirIssueEnableB,,,
st_ext_snsrAirIssueEnableB,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_snsrAirIssueEnableB,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_snsrAirIssueEnableB,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_ext_snsrAirIssueTypeB,,,
st_ext_snsrAirIssueTypeB,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
val_clng_tmp_supCW,lgpEnvTemperatureMeasurementDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.3,lgpChillWaterTemperature
val_clng_tmp_supCW,lgpEnvTemperatureMeasurementDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.3,lgpChillWaterTemperature
val_clng_tmp_supCWOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.51,lgpChillWaterTemperature
val_clng_tmp_supCWOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.51,lgpChillWaterTemperature
st_clng_tmpSupCWOverEnable,,,
st_clng_tmpSupCWOverEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_tmpSupCWOverEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_tmpSupCWOverEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_tmpSupCWOverType,,,
st_clng_tmpSupCWOverType,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_clng_snsrSupCWIssueEnable,,,
st_clng_snsrSupCWIssueEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_snsrSupCWIssueEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_snsrSupCWIssueEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_snsrSupCWIssueType,,,
st_clng_snsrSupCWIssueType,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_valv_CWPositionEnable,,,
st_valv_CWPositionEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_valv_CWPositionEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_valv_CWPositionEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_valv_CWPositionType,,,
st_valv_CWPositionType,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
val_clng_tmp_supRfg,lgpEnvTemperatureMeasurementDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.3,lgpEnvSupplyRefrigerantTemperature
val_clng_tmp_supRfg,lgpEnvTemperatureMeasurementDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.3,lgpEnvSupplyRefrigerantTemperature
val_clng_tmp_supRfgOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.51,lgpEnvSupplyRefrigerantTemperature
val_clng_tmp_supRfgOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.51,lgpEnvSupplyRefrigerantTemperature
st_clng_tmpSupRfgOverEnable,,,
st_clng_tmpSupRfgOverEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_tmpSupRfgOverEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_tmpSupRfgOverEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_tmpSupRfgOverType,,,
st_clng_tmpSupRfgOverType,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_clng_tmpSupRfgUnderEnable,,,
st_clng_tmpSupRfgUnderEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_tmpSupRfgUnderEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_tmpSupRfgUnderEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_tmpSupRfgUnderType,,,
st_clng_tmpSupRfgUnderType,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_clng_snsrSupRfgIssueEnable,,,
st_clng_snsrSupRfgIssueEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_snsrSupRfgIssueEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_snsrSupRfgIssueEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_snsrSupRfgIssueType,,,
st_clng_snsrSupRfgIssueType,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
val_clng_tmp_supFlu,lgpEnvTemperatureMeasurementDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.3,lgpEnvSupplyFluidTemperature
val_clng_tmp_supFlu,lgpEnvTemperatureMeasurementDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.3,lgpEnvSupplyFluidTemperature
val_clng_tmp_supFluOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.51,lgpEnvSupplyFluidTemperature
val_clng_tmp_supFluOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.51,lgpEnvSupplyFluidTemperature
st_clng_tmpSupFluOverEnable,,,
st_clng_tmpSupFluOverEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_tmpSupFluOverEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_tmpSupFluOverEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_tmpSupFluOverType,,,
st_clng_tmpSupFluOverType,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_clng_tmpSupFluUnderEnable,,,
st_clng_tmpSupFluUnderEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_tmpSupFluUnderEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_tmpSupFluUnderEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_tmpSupFluUnderType,,,
st_clng_tmpSupFluUnderType,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_clng_snsrSupFluIssueEnable,,,
st_clng_snsrSupFluIssueEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_snsrSupFluIssueEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_snsrSupFluIssueEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_clng_snsrSupFluIssueType,,,
st_clng_snsrSupFluIssueType,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_pump_op1,,,
st_pump_op1,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_pump_op1,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_pump_op1,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_pump_op2,,,
st_pump_op2,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_pump_op2,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_pump_op2,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_pump_flowLossEnable1,,,
st_pump_flowLossEnable1,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_pump_flowLossEnable1,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_pump_flowLossEnable1,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_pump_flowLossType1,,,
st_pump_flowLossType1,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_pump_flowLossEnable2,,,
st_pump_flowLossEnable2,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_pump_flowLossEnable2,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_pump_flowLossEnable2,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_pump_flowLossType2,,,
st_pump_flowLossType2,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_pump_shortCycleEnable,,,
st_pump_shortCycleEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_pump_shortCycleEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_pump_shortCycleEnable,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_pump_shortCycleType,,,
st_pump_shortCycleType,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_comp_op1A,,,
st_comp_op1A,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_comp_op1A,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_comp_op1A,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_comp_op1B,,,
st_comp_op1B,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_comp_op1B,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_comp_op1B,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_comp_op2A,,,
st_comp_op2A,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_comp_op2A,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_comp_op2A,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_comp_op2B,,,
st_comp_op2B,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_comp_op2B,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_comp_op2B,lgpEnvComponentState,.1.3.6.1.4.1.476.1.42.3.4.3.50.1.3,
st_comp_prsHighEnable1A,,,
st_comp_prsHighEnable1A,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsHighEnable1A,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsHighEnable1A,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsHighType1A,,,
st_comp_prsHighType1A,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_comp_prsHighEnable1B,,,
st_comp_prsHighEnable1B,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsHighEnable1B,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsHighEnable1B,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsHighType1B,,,
st_comp_prsHighType1B,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_comp_prsHighEnable2A,,,
st_comp_prsHighEnable2A,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsHighEnable2A,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsHighEnable2A,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsHighType2A,,,
st_comp_prsHighType2A,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_comp_prsHighEnable2B,,,
st_comp_prsHighEnable2B,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsHighEnable2B,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsHighEnable2B,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsHighType2B,,,
st_comp_prsHighType2B,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_comp_shortCycleEnable1A,,,
st_comp_shortCycleEnable1A,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_shortCycleEnable1A,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_shortCycleEnable1A,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_shortCycleType1A,,,
st_comp_shortCycleType1A,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_comp_shortCycleEnable1B,,,
st_comp_shortCycleEnable1B,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_shortCycleEnable1B,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_shortCycleEnable1B,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_shortCycleType1B,,,
st_comp_shortCycleType1B,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_comp_shortCycleEnable2A,,,
st_comp_shortCycleEnable2A,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_shortCycleEnable2A,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_shortCycleEnable2A,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_shortCycleType2A,,,
st_comp_shortCycleType2A,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_comp_shortCycleEnable2B,,,
st_comp_shortCycleEnable2B,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_shortCycleEnable2B,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_shortCycleEnable2B,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_shortCycleType2B,,,
st_comp_shortCycleType2B,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_comp_prsTandemLowEnable1,,,
st_comp_prsTandemLowEnable1,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsTandemLowEnable1,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsTandemLowEnable1,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsTandemLowType1,,,
st_comp_prsTandemLowType1,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
st_comp_prsTandemLowEnable2,,,
st_comp_prsTandemLowEnable2,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsTandemLowEnable2,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsTandemLowEnable2,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
st_comp_prsTandemLowType2,,,
st_comp_prsTandemLowType2,lgpConditionControlType,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.4,
val_valv_pct_posHotGas1,lgpEnvValvePositionTenths,.1.3.6.1.4.1.476.1.42.3.4.3.70.1.20,lgpEnvHotGasValve1Point
val_valv_pct_posHotGas2,lgpEnvValvePositionTenths,.1.3.6.1.4.1.476.1.42.3.4.3.70.1.20,lgpEnvHotGasValve2Point
st_valv_posHotGasSolenoid1,,,
st_valv_posHotGasSolenoid1,lgpEnvValveState,.1.3.6.1.4.1.476.1.42.3.4.3.70.1.3,
st_valv_posHotGasSolenoid1,lgpEnvValveState,.1.3.6.1.4.1.476.1.42.3.4.3.70.1.3,
st_valv_posHotGasSolenoid1,lgpEnvValveState,.1.3.6.1.4.1.476.1.42.3.4.3.70.1.3,
st_valv_posHotGasSolenoid2,,,
st_valv_posHotGasSolenoid2,lgpEnvValveState,.1.3.6.1.4.1.476.1.42.3.4.3.70.1.3,
st_valv_posHotGasSolenoid2,lgpEnvValveState,.1.3.6.1.4.1.476.1.42.3.4.3.70.1.3,
st_valv_posHotGasSolenoid2,lgpEnvValveState,.1.3.6.1.4.1.476.1.42.3.4.3.70.1.3,
st_sys_status,lgpSysState,.1.3.6.1.4.1.476.1.42.3.7.2.2,
st_sys_status,lgpSysState,.1.3.6.1.4.1.476.1.42.3.7.2.2,
st_sys_status,lgpSysState,.1.3.6.1.4.1.476.1.42.3.7.2.2,
st_sys_status,lgpSysState,.1.3.6.1.4.1.476.1.42.3.7.2.2,
st_sys_status,lgpSysState,.1.3.6.1.4.1.476.1.42.3.7.2.2,
st_sys_status,lgpSysState,.1.3.6.1.4.1.476.1.42.3.7.2.2,
st_sys_operating,lgpEnvStateSystem,.1.3.6.1.4.1.476.1.42.3.4.3.1,
st_sys_operating,lgpEnvStateSystem,.1.3.6.1.4.1.476.1.42.3.4.3.1,
st_sys_operating,lgpEnvStateSystem,.1.3.6.1.4.1.476.1.42.3.4.3.1,
st_sys_operating,lgpEnvStateSystem,.1.3.6.1.4.1.476.1.42.3.4.3.1,
st_sys_controlMode,lgpEnvStateOperatingMode,.1.3.6.1.4.1.476.1.42.3.4.3.15,
st_sys_controlMode,lgpEnvStateOperatingMode,.1.3.6.1.4.1.476.1.42.3.4.3.15,
st_sys_controlMode,lgpEnvStateOperatingMode,.1.3.6.1.4.1.476.1.42.3.4.3.15,
st_sys_onOffCtrl,lgpSysControlOperationOnOff,.1.3.6.1.4.1.476.1.42.3.7.4.2,
st_sys_onOffCtrl,lgpSysControlOperationOnOff,.1.3.6.1.4.1.476.1.42.3.7.4.2,
st_sys_onOffCtrl,lgpSysControlOperationOnOff,.1.3.6.1.4.1.476.1.42.3.7.4.2,
st_ext_inpContactEnable01,,,
st_ext_inpContactEnable01,lgpConditionControlEnableStatus,.1.3.6.1.4.1.476.1.42.3.2.4.20.1.3,
