textID,text
4193,The number of occurrences, since the last reset, where the input was not qualified to provide power to the system
4194,System Input Transient Count
4195,The number of occurrences, since the last reset, where the absolute value of the system input voltage deviated from the expected values
4196,System Input Power Problem
4197,The input is not qualified to provide power to the system
4198,day
4199,deg
4200,System Status
4201,The operating status for the system
4202,Group Status
4203,The summary status of the grouped systems
4204,Normal Operation
4205,StartUp
4206,Unknown - No System Support for System Status
4207,Normal with Warning
4208,Normal with Alarm
4209,Abnormal Operation
4210,Unknown - Communication Failure
4211,Bypass Input Voltage RMS A-B
4212,The bypass input RMS voltage between phases A and B
4213,Bypass Input Voltage RMS B-C
4214,The bypass input RMS voltage between phases B and C
4215,Bypass Input Voltage RMS C-A
4216,The bypass input RMS voltage between phases C and A
4217,Bypass Input Voltage RMS A-N
4218,The bypass input RMS voltage between phase A and Neutral
4219,Bypass Input Voltage RMS B-N
4220,The bypass input RMS voltage between phase B and Neutral
4221,Bypass Input Voltage RMS C-N
4222,The bypass input RMS voltage between phase C and Neutral
4223,Bypass Input Frequency
4224,The bypass input frequency
4225,Bypass Overload Phase A
4226,An overload exists on output phase A while operating on the bypass
4227,Bypass Overload Phase B
4228,An overload exists on output phase B while operating on the bypass
4229,Bypass Overload Phase C
4230,An overload exists on output phase C while operating on the bypass
4231,Bypass Not Available
4232,A problem associated with the bypass has been detected
4233,Bypass Sync Phase Difference
4234,The phase angle difference between the inverter output and bypass source
4235,Bypass Auto Retransfer Primed
4236,Automatic retransfer from bypass to inverter is possible
4237,Bypass Auto Retransfer Failed
4238,After performing a recoverable transfer to bypass, an attempt to auto retransfer from bypass to inverter failed
4239,Bypass - Excess Auto Retransfers
4240,The number of auto retransfers, from bypass to inverter, has exceeded the maximum for a specified time interval
4241,Bypass Restart Inhibit - External
4242,Restart of the bypass is inhibited by the state of an external signal
4243,Bypass Breaker Closed
4244,The bypass breaker is closed
4245,Bypass Static Switch Overload
4246,Bypass off due to static switch overload
4247,Bypass Static Switch Unavailable
4248,The static bypass switch is off, and unable to operate
4249,Bypass Excessive Pulse Parallel
4250,The system has performed too many pulse parallel operations within a specified time interval
4251,Bypass Auto Transfer Failed
4252,An automatic transfer to static bypass failed
4253,System Input Phs Rotation Error
4254,The power conductors on the input line are not wired to the UPS in the sequence preferred for the rectifier (A-B-C)
4255,System Input Current Limit
4256,The RMS input current has reached the input current limit threshold
4257,DC Bus Voltage
4258,The voltage between the positive and negative terminals of the DC bus at the battery input
4259,DC Bus Current
4260,The current at the battery input terminals. In charging mode, the current will be a positive value. In discharging mode, the current will be a negative value
4261,Battery Time Remaining
4262,The calculated available time on battery
4263,Battery Discharge Time
4264,The time on battery operation for this discharge
4265,No Support
4266,Unavailable
4267,Overflow
4268,Underflow
4269,Battery Total Discharge Time
4270,The cumulative battery discharge time
4271,The percentage of battery charge
4272,Battery Percentage Charge
4273,The voltage between the positive and the negative battery terminals of the common battery disconnect
4274,Battery Volts at Main Disconnect
4275,The voltage between the positive and negative battery terminals of a battery cabinet
4276,Battery Volts for Cabinet
4277,The battery temperature for a cabinet
4278,Battery Temperature for Cabinet
4279,The calculated time remaining before bypass static switch shutdown due to the present overload condition
4280,Bypass SS Overload Time Remain
4281,Cumulative battery amp-hours withdrawn over the life of the battery
4282,Battery Amp-Hours Consumed
4283,Instantaneous battery power while discharging
4284,Battery Discharge Power
4285,Date and time when battery placed into service
4286,Battery Commission Date
4287,The date and time of the last battery discharge
4288,Battery Last Discharge Date
4289,The calculated battery time remaining has reached the low battery threshold
4290,Battery Low
4291,Output turned off due to battery reaching end-of-discharge
4292,Output Off - End-of-Discharge
4293,The battery is not charging properly
4294,Battery Charging Error
4295,Using a reduced battery charging algorithm due to an external signal
4296,Battery Charging Reduced-Extrnl
4297,Battery capacity is low
4298,Battery Capacity Low
4299,Output is off
4300,Output Off
4301,The battery is discharging
4302,Battery Discharging
4303,Excessive temperature differences between battery sensors detected
4304,Battery Temperature Imbalance
4305,The rectifier output voltage is increased to equalize the battery voltage level.
4306,Battery Equalize
4307,Manual battery test is in progress
4308,Battery Manual Test In Progress
4309,Automatic battery test is in progress
4310,Battery Auto Test In Progress
4311,Main battery disconnect is open
4312,Main Battery Disconnect Open
4313,A battery temperature sensor fault has been detected
4314,Battery Temperature Sensor Fault
4315,The bypass frequency is outside the inverter synchronization limits
4316,Bypass Frequency Error
4317,Battery circuit breaker 1 is open
4318,Battery Circuit Breaker 1 Open
4319,Battery circuit breaker 1 failed to open
4320,Battery Breaker 1 Open Failure
4321,Battery circuit breaker 1 failed to close
4322,Battery Breaker 1 Close Failure
4323,Battery circuit breaker 2 is open
4324,Battery Circuit Breaker 2 Open
4325,Battery circuit breaker 2 failed to open
4326,Battery Breaker 2 Open Failure
4327,Battery circuit breaker 2 failed to close
4328,Battery Breaker 2 Close Failure
4329,Battery circuit breaker 3 is open
4330,Battery Circuit Breaker 3 Open
4331,Battery circuit breaker 3 failed to open
4332,Battery Breaker 3 Open Failure
4333,Battery circuit breaker 3 failed to close
4334,Battery Breaker 3 Close Failure
4335,Battery circuit breaker 4 is open
4336,Battery Circuit Breaker 4 Open
4337,Battery circuit breaker 4 failed to open
4338,Battery Breaker 4 Open Failure
4339,Battery circuit breaker 4 failed to close
4340,Battery Breaker 4 Close Failure
4341,Battery circuit breaker 5 is open
4342,Battery Circuit Breaker 5 Open
4343,Battery circuit breaker 5 failed to open
4344,Battery Breaker 5 Open Failure
4345,Battery circuit breaker 5 failed to close
4346,Battery Breaker 5 Close Failure
4347,Battery circuit breaker 6 is open
4348,Battery Circuit Breaker 6 Open
4349,Battery circuit breaker 6 failed to open
4350,Battery Breaker 6 Open Failure
4351,Battery circuit breaker 6 failed to close
4352,Battery Breaker 6 Close Failure
4353,Battery circuit breaker 7 is open
4354,Battery Circuit Breaker 7 Open
4355,Battery circuit breaker 7 failed to open
4356,Battery Breaker 7 Open Failure
4357,Battery circuit breaker 7 failed to close
4358,Battery Breaker 7 Close Failure
4359,Battery circuit breaker 8 is open
4360,Battery Circuit Breaker 8 Open
4361,Battery circuit breaker 8 failed to open
4362,Battery Breaker 8 Open Failure
4363,Battery circuit breaker 8 failed to close
4364,Battery Breaker 8 Close Failure
4365,Battery charging is inhibited due to an external inhibit signal
4366,Battery Charging Inhibited
4367,The system output RMS voltage between phases A and B
4368,System Output Voltage RMS A-B
4369,The system output RMS voltage between phases B and C
4370,System Output Voltage RMS B-C
4371,The system output RMS voltage between phases C and A
4372,System Output Voltage RMS C-A
4373,The system output RMS current for Phase A
4374,System Output RMS Current Phs A
4375,The system output RMS current for Phase B
4376,System Output RMS Current Phs B
4377,The system output RMS current for Phase C
4378,System Output RMS Current Phs C
4379,The system output frequency
4380,System Output Frequency
4381,The sum total power of all system output phases
4382,System Output Power
4383,The sum total apparent power of all system output phases
4384,System Output Apparent Power
4385,The system output power factor of phase A
4386,System Output Power Factor Phs A
4387,The system output power factor of phase B
4388,System Output Power Factor Phs B
4389,The system output power factor of phase C
4390,System Output Power Factor Phs C
4391,System shutdown due to Emergency Power Off (EPO)
4392,System Shutdown - EPO
4393,System shutdown due to Remote Emergency Power Off (REPO)
4394,System Shutdown - REPO
4395,The system output is off
4396,System Output Off
4397,The system detected a voltage on the bypass when none was expected
4398,Bypass Backfeed Detected
4399,Manual transfer from inverter to bypass is inhibited - bypass not qualified.
4400,Bypass - Manual Xfr Inhibited
4401,Manual transfer from bypass to inverter is inhibited - inverter output not qualified.
4402,Bypass - Manual Rexfr Inhibited
4403,A battery temperature sensor is reporting a value above a threshold
4404,Battery Over Temperature
4405,External battery monitor 1 - battery maintenance required
4406,Battery - External Monitor 1
4407,External battery monitor 2 - battery maintenance required
4408,Battery - External Monitor 2
4409,Battery system ground fault amperage exceeds the threshold
4410,Battery Ground Fault
4411,The system output power on phase A as a percentage of the rated capacity
4412,System Output Pct Power Phase A
4413,The system output power on phase B as a percentage of the rated capacity
4414,System Output Pct Power Phase B
4415,The system output power on phase C as a percentage of the rated capacity
4416,System Output Pct Power Phase C
4417,The system output apparent power on phase A as a percentage of the rated capacity
4418,System Output Pct Pwr (VA) Phs A
4419,The system output apparent power on phase B as a percentage of the rated capacity
4420,System Output Pct Pwr (VA) Phs B
4421,The system output apparent power on phase C as a percentage of the rated capacity
4422,System Output Pct Pwr (VA) Phs C
4423,Emergency Power Off - Latched
4424,System output is off - 'Emergency Power Off (EPO) - latched' requires manual reset
4425,System Output Low Power Factor
4426,The system output power factor is low, resulting in reduced output capacity
4427,Output Current Exceeds Threshold
4428,Output current for one or more phases exceeds a threshold
4429,Inverter Overload Time Remaining
4430,The calculated time remaining before inverter shutdown
4431,Inverter Failure
4432,Inverter failure - inverter output is off
4433,Inverter Overload Phase A
4434,Inverter is operating with an overload on phase A
4435,Inverter Overload Phase B
4436,Inverter is operating with an overload on phase B
4437,Inverter Overload Phase C
4438,Inverter is operating with an overload on phase C
4439,Inverter Out Breaker Open Fail
4440,Inverter output breaker failed to open
4441,Inverter Out Breaker Close Fail
4442,Inverter output breaker failed to close
4443,Restart of the inverter is inhibited by an external signal
4444,Inverter Inhibit - External
4445,System model identifier
4446,System Model Number
4447,Maintenance bypass model identifier
4448,Maintenance Bypass Model Number
4449,Battery cabinet model identifier
4450,Battery Cabinet Model Number
4451,System parallel cabinet model identifier
4452,Sys Parallel Cabinet Model Num
4453,System serial number
4454,System Serial Number
4455,Maintenance bypass serial number
4456,Maintenance Bypass Serial Number
4457,System parallel cabinet serial number
4458,Sys Parallel Cabinet Serial Num
4459,Site identifier
4460,Site Identifier
4461,Site equipment tag number
4462,Site Equipment Tag Number
4463,Battery cabinet 1 serial number
4464,Battery Cabinet 1 Serial Number
4465,Battery cabinet 2 serial number
4466,Battery Cabinet 2 Serial Number
4467,Battery cabinet 3 serial number
4468,Battery Cabinet 3 Serial Number
4469,Battery cabinet 4 serial number
4470,Battery Cabinet 4 Serial Number
4471,Battery cabinet 5 serial number
4472,Battery Cabinet 5 Serial Number
4473,Battery cabinet 6 serial number
4474,Battery Cabinet 6 Serial Number
4475,Battery cabinet 7 serial number
4476,Battery Cabinet 7 Serial Number
4477,Battery cabinet 8 serial number
4478,Battery Cabinet 8 Serial Number
4479,UPS configuration description
4480,UPS Configuration Description
4481,Rectifier description
4482,Rectifier Description
4483,Bypass nominal (or rated) voltage
4484,Bypass Nominal Voltage
4485,The nominal (or rated) system output voltage
4486,System Output Nominal Voltage
4487,The nominal (or rated) system output frequency
4488,System Output Nominal Frequency
4489,Battery cell count - lead acid
4490,Battery Cell Count - Lead Acid
4491,Battery cell count - nickel cadmium
4492,Battery Cell Count-Nickel Cadmium
4493,Output apparent power rating
4494,Output Apparent Power Rating
4495,Output real power rating
4496,Output Real Power Rating
4497,Input isolation transformer
4498,Input Isolation Transformer
4499,Not Installed
4500,Installed
4501,System output maximum amperage rating
4502,System Output Maximum Amp Rating
4503,Number of UPS modules in the system
4504,System UPS Module Count
4505,Number of redundant UPS modules in the system
4506,System Redundant UPS Modules
4507,6 Pulse
4508,12 Pulse
4509,18 Pulse
4510,24 Pulse
4511,Single Module System
4512,Module (1 + 1)
4513,Module (1 + N)
4514,Module (N + 1)
4515,System Control Cabinet
4516,Main Static Switch
4517,Two Wire (single phase + return)
4518,Two Wire (2 phase, no neutral)
4519,Three Wire (2 phase + neutral)
4520,Three Wire (3 phase, no neutral)
4521,Four Wire (3 phases + neutral)
4522,Not Applicable
4523,Continuous Duty
4524,Momentary Duty
4525,None
4526,Inverter
4527,Bypass
4528,Maintenance Bypass
4529,None
4530,Utility (mains)
4531,Generator
4532,UPS
4533,The external input contact 1
4534,Input Contact 01
4535,The external input contact 2
4536,Input Contact 02
4537,The external input contact 3
4538,Input Contact 03
4539,The external input contact 4
4540,Input Contact 04
4541,The external input contact 5
4542,Input Contact 05
4543,The external input contact 6
4544,Input Contact 06
4545,The external input contact 7
4546,Input Contact 07
4547,The external input contact 8
4548,Input Contact 08
4549,The external input contact 9
4550,Input Contact 09
4551,The external input contact 10
4552,Input Contact 10
4553,The external input contact 11
4554,Input Contact 11
4555,The external input contact 12
4556,Input Contact 12
4557,The external input contact 13
4558,Input Contact 13
4559,The external input contact 14
4560,Input Contact 14
4561,The external input contact 15
4562,Input Contact 15
4563,The external input contact 16
4564,Input Contact 16
4565,The phase A output has exceeded the user amperage threshold
4566,Output Amp Over User Limit-Phs A
4567,The phase B output has exceeded the user amperage threshold
4568,Output Amp Over User Limit-Phs B
4569,The phase C output has exceeded the user amperage threshold
4570,Output Amp Over User Limit-Phs C
4571,Transfer of critical bus source to inverter is inhibited by an external signal
4572,Inverter Transfer Inhibit - Ext
4573,The inverter has shutdown due to a sustained overload
4574,Inverter Shutdown - Overload
4575,The temperature of the inlet air
4576,Inlet Air Temperature
4577,The cumulative operation time of the unit
4578,Total System Operating Time
4579,The system date and time
4580,System Date and Time
4581,The inlet air exceeds the maximum temperature threshold
4582,Inlet Air Over Temperature
4583,Rectifier failure - rectifier is off
4584,Rectifier Failure
4585,The operation of the rectifier is inhibited by an external signal
4586,Rectifier Operation Inhibit-Ext
4587,The output power is supplied by the inverter
4588,UPS Output on Inverter
4589,The output power is supplied by the bypass
4590,UPS Output on Bypass
4591,The output power is supplied by the maintenance bypass
4592,Output Load on Maint. Bypass
4593,The control has detected a communication failure of a component on the internal communication bus
4594,Internal Communications Failure
4595,Rectifier pulse count per cycle configuration
4596,Rectifier Pulse Count
4597,Rectifier input passive filter configuration
4598,Rectifier Input Passive Filter
4599,Rectifier input passive filter switch configuration
4600,Rectifier Passive Filter Switch
4601,Rectifier input active filter configuration
4602,Rectifier Active Filter
4603,UPS module type
4604,UPS Module Type
4605,Bypass input wire configuration
4606,Bypass Input Wire Configuration
4607,Output wire configuration
4608,Output Wire Configuration
4609,Static switch type configuration
4610,Static Switch Type
4611,The UPS's output power source
4612,UPS Output Source
4613,A ground fault has been detected on the positive DC Bus link
4614,DC Bus Ground Fault - Positive
4615,A ground fault has been detected on the negative DC Bus link
4616,DC Bus Ground Fault - Negative
4617,Equipment over temperature summary event
4618,Equipment Over Temperature
4619,System fan failure - one or more fans have failed
4620,System Fan Failure
4621,System multiple fan failure - remaining fans no longer able to provide adequate heat management capability
4622,System Multiple Fan Failure
4623,Password changed
4624,Password Changed
4625,Power supply failure
4626,Power Supply Failure
4627,A generator is supplying the power to the system
4628,On Generator
4629,Auto restart is in progress
4630,Auto Restart In Progress
4631,Auto restart inhibited due to an external signal
4632,Auto Restart Inhibited - Ext
4633,System input power source
4634,System Input Power Source
4635,Load Off
4636,Load Power Source
4637,Load power source
4638,User initiated manual transfer to bypass
4639,Initiated Transfer to Bypass
4640,User initiated manual transfer to inverter
4641,Initiated Transfer to Inverter
4642,Battery test passed
4643,Battery Test Passed
4644,Battery test failed
4645,Battery Test Failed
4646,The battery test was manually stopped prior to completion
4647,Battery Test Manually Stopped
4648,The backfeed breaker is in the open position
4649,Backfeed Breaker Open
4650,System fan status
4651,System Fan Status
4652,System fan redundant status
4653,System Fan Redundant Status
4654,System fan capacity status
4655,System Fan Capacity Status
4656,Unknown
4657,Normal
4658,Failure
4659,Unknown
4660,Redundancy Available
4661,Loss of Redundancy
4662,Unknown
4663,Adequate
4664,Inadequate
4665,System Name
4666,End user assigned name for the system
4667,System Description
4668,End user assigned description for the system
4669,System Location
4670,End user assigned location of the system
4671,Contact Information
4672,End user assigned contact information for the system
4673,Manufacturer
4674,Manufacturer of the system
4675,Manufacture Date
4676,Manufacturing date of the system
4677,Firmware Version
4678,Firmware version identifier
4679,MS/TP 485 stack output buffer high water mark, in number of messages
4680,MS/TP 485 Stack Out Buffer Peak
4681,The total number of header CRC errors for all MS/TP 485 stacks in the system since boot
4682,MS/TP 485 Header CRC Errors
4683,The total number of data CRC errors for all MS/TP 485 stacks in the system since boot
4684,MS/TP 485 Data CRC Errors
4685,The number of messages rejected by Velocity due to authentication failures
4686,Velocity Authentication Failures
4687,Notification of a message rejected by Velocity due to an authentication failure
4688,Velocity Authentication Failure
4689,MS/TP 485 stack output buffer size in number of messages
4690,MS/TP 485 Stack Out Buffer Size
4691,The number of router cache lookups that resulted in a miss
4692,Router Cache Miss Count
4693,The network address
4694,Network Address
4695,The network gateway address
4696,Gateway Address
4697,The network mask
4698,Network Mask
4699,Domain name server 1 address
4700,DNS 1
4701,Domain name server 2 address
4702,DNS 2
4703,This is the label assigned to the receptacle at runtime by the system. The value is independent of any user assigned label or asset tag.
4704,System Assigned Position Label
4705,20 Amp (NEMA 5-20R)
4706,10 Amp (IEC C13 sheet F)
4707,16 Amp (IEC C19 sheet J)
4708,Receptacle type (form factor and amperage rating)
4709,Receptacle Type
4710,L1-N
4711,L2-N
4712,L3-N
4713,L1-L2
4714,L2-L3
4715,L3-L1
4716,This is the receptacle power source line configuration (for example, L1-to-N or L1-to-L2)
4717,Receptacle Line Source
4718,No optional capabilities
4719,Measurement Capability
4720,Control Capability
4721,Receptacle capabilities indicates the measurement and/or control capability, etc. These capabilities are associated with the receptacle
4722,Receptacle Capabilities
4723,Voltage (RMS) measured at the receptacle
4724,Receptacle Voltage
4725,Current (RMS) being delivered to the load attached to the receptacle
4726,Receptacle Current
4727,Power (watts) measured at the receptacle
4728,Receptacle Power
4729,Apparent Power (volt-amps) measured at the receptacle
4730,Receptacle Apparent Power
4731,Receptacle Power Factor (ratio of real power to apparent power)
4732,Receptacle Power Factor
4733,The line frequency measured at the receptacle
4734,Receptacle Line Frequency
4735,Total accumulated energy, measured at the receptacle, since the last energy reset. Writing a value of 0 (zero) to this causes the accumulated energy to be reset
4736,Receptacle Accumulated Energy
4737,Receptacle label - user assigned
4738,Receptacle Label
4739,The user assigned receptacle name
4740,Receptacle User Assigned Label
4741,The system has detected a receptacle over current condition
4742,Receptacle Over Current
4743,The system has detected a receptacle under current condition
4744,Receptacle Under Current
4745,Receptacle Power State - indicates the availability of power to the receptacle
4746,Receptacle Power State
4747,Unknown
4748,Off
4749,On
4750,Off - On is pending time delay
4751,User assigned receptacle asset tag
4752,Receptacle Asset Tag 01
4753,User assigned receptacle asset tag
4754,Receptacle Asset Tag 02
4755,Receptacle Power Control (OFF, ON, Cycle, etc)
4756,Receptacle Power Control
4757,Off
4758,On
4759,Cycle Power
4760,The receptacle control lock state. User control of the receptacle power state is inhibited while LOCKED
4761,Receptacle Control Lock State
4762,Unlocked
4763,Locked
4764,If the receptacle current is below this threshold, an alarm is activated
4765,Under Current Alarm Threshold
4766,If the receptacle current is above this threshold, a warning is activated
4767,Over Current Warning Threshold
4768,If the receptacle current is above this threshold, an alarm is activated
4769,Over Current Alarm Threshold
4770,Receptacle power on delay after a boot event
4771,Receptacle Power On Delay
4772,This is the label assigned to the Branch Receptacle Module at runtime by the system. The value is independent of any user assigned label or asset tag.
4773,System Assigned Label
4774,The Branch Receptacle Module (BRM) model designation
4775,BRM Model
4776,The form factor and amperage rating of the receptacles in the module
4777,Branch Receptacle Type
4778,Branch Receptacle Module capabilities indicates the measurement and/or control capability, etc. This applies to the Branch Receptacle Module and its associated receptacles
4779,Branch Capabilities
4780,This is the Branch Receptacle Module power source line configuration (for example, L1-to-N or L1-to-L2)
4781,Branch Line Source
4782,The number of receptacles in this module
4783,Module Receptacle Count
4784,Rated line voltage for the module
4785,Branch Rated Line Voltage
4786,This is the rated input line current for the module
4787,Branch Rated Line Current
4788,Rated line frequency for the module and its associated receptacles
4789,Branch Rated Line Frequency
4790,Total accumulated energy, measured at the Branch Receptacle Module input, since the last energy reset. Writing a value of 0 (zero) to this causes the accumulated energy to be reset
4791,Branch Accumulated Energy
4792,System Input Currents are Imbalanced
4793,System Input Current Imbalance
4794,Bypass static switch is off due to the state of an external signal
4795,Bypass Static Switch Off Extrnl
4796,Battery disconnect due to end-of-discharge
4797,Battery EoD - Disconnect
4798,The system output RMS voltage between phases A and Neutral
4799,System Output Voltage RMS A-N
4800,The system output RMS voltage between phases B and Neutral
4801,System Output Voltage RMS B-N
4802,The system output RMS voltage between phases C and Neutral
4803,System Output Voltage RMS C-N
4804,A fault has been detected in the system output
4805,System Output Fault
4806,Inverter is off (operation is inhibited) due to external signal state
4807,Inverter Off - External
4808,The system has detected a short across one or more inverter static switch Silicon Controlled Rectifiers (SCR)
4809,Inverter Static Switch SCR Short
4810,One or more temperature sensors cannot provide a valid temperature reading (i.e. sensor failure, wiring failure, sense circuit failure, etc)
4811,Temperature Sensor Error
4812,This is the label assigned to the Power Distribution Unit at runtime by the system. The value is independent of any user assigned label or asset tag.
4813,System Assigned Position Label
4814,The Branch's globally unique serial number assigned at the time of manufacture
4815,Branch Serial Number
4816,This is a one-based value that indicates the strip's relative position within the rack
4817,PDU Relative Position
4818,This is a one-based value that indicates the modules relative position within the strip
4819,Module's Relative Position
4820,A one-based number indicating the position of this receptacle within a module
4821,Receptacle Position
4822,The Branch Receptacle Module is installed in the Power Distribution Unit (PDU) identified by this Serial Number (S/N)
4823,PDU Module S/N
4824,The receptacle is installed in the Branch Receptacle Module identified by this Serial Number (S/N)
4825,Branch Receptacle Module S/N
4826,Module Firmware Version Identifier
4827,Firmware Version
4828,Module's measured input line-to-neutral voltage
4829,Branch Voltage
4830,Module's measured total input line-to-neutral current
4831,Branch Current
4832,Module's measured total input line-to-neutral real power
4833,Branch Power
4834,Module's measured total input line-to-neutral apparent power
4835,Branch Apparent Power
4836,Module's measured total input line-to-neutral power factor
4837,Branch Power Factor
4838,The system has detected a module over current condition
4839,Branch Over Current
4840,The system has detected a module under current condition
4841,Branch Under Current
4842,If the module current is below this threshold, an under current alarm is activated
4843,Under Current Alarm Threshold
4844,If the module current is above this threshold, an over current warning is activated
4845,Over Current Warning Threshold
4846,If the module current is above this threshold, an over current alarm is activated
4847,Over Current Alarm Threshold
4848,Module's measured input line-to-line voltage
4849,Branch Voltage
4850,Module's measured input line-to-line current
4851,Branch Current
4852,Module's measured input line-to-line real power
4853,Branch Power
4854,Module's measured input line-to-line apparent power
4855,Branch Apparent Power
4856,Module's measured input line-to-line power factor
4857,Branch Power Factor
4858,The system has detected a module over current condition
4859,Branch Over Current
4860,The system has detected a module under current condition
4861,Branch Under Current
4862,If the module current is below this threshold, an under current alarm is activated
4863,Under Current Alarm Threshold
4864,If the module current is above this threshold, an over current warning is activated
4865,Over Current Warning Threshold
4866,If the module current is above this threshold, an over current alarm is activated
4867,Over Current Alarm Threshold
4868,One or more conditions indicate a Branch Receptacle Module failure, service is required
4869,Branch Failure
4870,This is the label assigned to the Power Entry Module at runtime by the system. The value is independent of any user assigned label or asset tag.
4871,System Assigned Position Label
4872,The Power Entry Module model designation
4873,PEM Model
4874,1-Phase / 3-Wire (L1, N, PE)
4875,2-Phase / 3-Wire (L1, L2, PE)
4876,3-Phase / 4-Wire (L1, L2, L3, PE)
4877,3-Phase / 5-Wire (L1, L2, L3, N, PE)
4878,The PDU input wiring type
4879,PDU Input Wiring Type
4880,Rated input line voltage for the module
4881,Rated Input Line Voltage
4882,Rated input line current for the module
4883,Rated Input Line Current
4884,Rated input line frequency for the module
4885,Rated Input Line Frequency
4886,Total accumulated energy, measured at the module input, since the last energy reset. Writing a value of 0 (zero) to this causes the accumulated energy to be reset
4887,PDU Accumulated Energy
4888,The PEM's globally unique serial number assigned at the time of manufacture
4889,PEM Serial Number
4890,Module Firmware Version Identifier
4891,Firmware Version
4892,Module's measured input line-to-neutral voltage
4893,PDU Voltage
4894,Module's measured total input line-to-neutral current
4895,PDU Current
4896,Module's measured total input line-to-neutral real power
4897,PDU Power
4898,Module's measured total input line-to-neutral apparent power
4899,PDU Apparent Power
4900,Module's measured total input line-to-neutral power factor
4901,PDU Power Factor
4902,The system has detected a module over current condition
4903,PDU Over Current
4904,The system has detected a module under current condition
4905,PDU Under Current
4906,Excessive temperature rise internal to the system (i.e. difference between the output versus input temperature is too large)
4907,System Internal Temperature Rise
4908,Automatic restart failed
4909,Automatic Restart Failed
4910,A summary event indicating one or more fuse failures
4911,Fuse Failure
4912,System controller internal error
4913,System Controller Error
4914,One or more breakers in the system failed to open
4915,System Breaker(s) Open Failure
4916,Module's measured input voltage
4917,PDU Voltage
4918,Module's measured total input current
4919,PDU Current
4920,Module's measured total input line-to-line real power
4921,PDU Power
4922,Module's measured total input apparent power
4923,PDU Apparent Power
4924,Module's measured total input power factor
4925,PDU Power Factor
4926,The system has detected a module over current condition
4927,PDU Over Current
4928,The system has detected a module under current condition
4929,PDU Under Current
4930,Module's measured input line-to-line voltage (L1-L2)
4931,PDU Voltage L1-L2
4932,Module's measured input line-to-line voltage (L2-L3)
4933,PDU Voltage L2-L3
4934,Module's measured input line-to-line voltage (L3-L1)
4935,PDU Voltage L3-L1
4936,Module's measured input line-to-neutral voltage (L1-N)
4937,PDU Voltage L1-N
4938,Module's measured input line-to-neutral voltage (L2-N)
4939,PDU Voltage L2-N
4940,Module's measured input line-to-neutral voltage (L3-N)
4941,PDU Voltage L3-N
4942,Module's measured total input current line 1
4943,PDU Current L1
4944,Module's measured total input current line 2
4945,PDU Current L2
4946,Module's measured total input current line 3
4947,PDU Current L3
4948,Module's measured total input power line 1
4949,PDU Power L1
4950,Module's measured total input power line 2
4951,PDU Power L2
4952,Module's measured total input power line 3
4953,PDU Power L3
4954,Module's measured total input apparent power line 1
4955,PDU Apparent Pwr L1
4956,Module's measured total input apparent power line 2
4957,PDU Apparent Pwr L2
